,C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2,Label_biomass,Label_lignin
162,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,800.0,4.0,2431.0,1.033,False,False,True,False,False,False,True,False
163,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,800.0,3.0,2578.0,1.062,False,False,True,False,False,False,True,False
164,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,900.0,4.0,3049.0,1.52,False,False,True,False,False,False,True,False
165,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,257.369,0.1458,False,False,True,False,False,False,False,True
166,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,257.37,0.15,False,False,True,False,False,False,False,True
167,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,760.2758,0.3275,False,False,True,False,False,False,False,True
168,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,760.28,0.33,False,False,True,False,False,False,False,True
169,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,700.0,1.0,916.0,0.364,False,False,True,False,False,False,False,True
170,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,600.0,1.0,770.0,0.366,False,False,True,False,False,False,False,True
171,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,600.0,1.0,878.0,0.372,False,False,True,False,False,False,False,True
172,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,2.0,5.0,600.0,1.0,957.0,0.399,False,False,True,False,False,False,False,True
173,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,550.0,2.0,959.4,0.49,False,False,True,False,False,False,False,True
174,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,550.0,2.0,959.4,0.49,False,False,True,False,False,False,False,True
175,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,2.0,5.0,700.0,1.0,1240.0,0.492,False,False,True,False,False,False,False,True
176,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,2.0,5.0,600.0,1.0,1180.0,0.494,False,False,True,False,False,False,False,True
177,60.82,5.1,24.68,0.15,9.25,64.62,4.62,28.06,0.25,5.0,800.0,1.0,1230.0,0.51,False,False,True,False,False,False,False,True
178,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,10.0,700.0,2.0,1236.0,0.53,False,False,True,False,False,False,False,True
179,60.82,5.1,24.68,0.15,9.25,64.62,4.62,28.06,0.5,5.0,800.0,1.0,1263.0,0.54,False,False,True,False,False,False,False,True
180,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,1289.86,0.5477,False,False,True,False,False,False,False,True
181,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,1289.86,0.55,False,False,True,False,False,False,False,True
182,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,800.0,1.0,1255.0,0.554,False,False,True,False,False,False,False,True
183,61.65,5.59,31.3,0.0,1.46,28.14,1.88,66.52,2.0,5.0,800.0,2.0,1336.5,0.5702,False,False,True,False,False,False,False,True
184,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,2.0,5.0,700.0,1.0,1528.0,0.598,False,False,True,False,False,False,False,True
185,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,700.0,1.0,1073.0,0.618,False,False,True,False,False,False,False,True
186,44.9,4.5,29.9,0.0,12.0,64.62,4.62,28.06,0.33,5.0,900.0,3.0,864.6,0.63,False,False,True,False,False,False,False,True
187,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,1554.55,0.65,False,False,True,False,False,False,False,True
188,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,1554.548,0.6522,False,False,True,False,False,False,False,True
189,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,850.0,2.0,1390.2,0.7,False,False,True,False,False,False,False,True
190,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,850.0,2.0,1390.2,0.7,False,False,True,False,False,False,False,True
191,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,1.0,10.0,750.0,2.0,1440.6,0.72,False,False,True,False,False,False,False,True
192,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,1.0,10.0,750.0,2.0,1440.6,0.72,False,False,True,False,False,False,False,True
193,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,650.0,2.0,1575.5,0.73,False,False,True,False,False,False,False,True
194,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,650.0,2.0,1575.5,0.73,False,False,True,False,False,False,False,True
195,61.05,7.08,30.92,0.95,0.0,63.68,3.9,29.28,1.0,20.0,750.0,4.0,1461.0,0.75,False,False,True,False,False,False,False,True
196,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,1404.5585,0.7568,False,False,True,False,False,False,False,True
197,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,1404.56,0.76,False,False,True,False,False,False,False,True
198,63.7,4.8,26.3,0.4,0.0,51.19,0.04,46.49,1.0,8.29,800.0,2.0,1655.0,0.77,False,False,True,False,False,False,False,True
199,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,800.0,1.0,1109.0,0.785,False,False,True,False,False,False,False,True
200,63.21,5.6,27.78,0.19,3.22,64.62,4.62,28.06,1.0,10.0,800.0,2.0,1560.0,0.8,False,False,True,False,False,False,False,True
201,64.91,7.34,19.82,0.26,7.67,48.66,4.03,34.57,1.0,8.29,700.0,1.0,1191.0,0.82,False,False,True,False,False,False,False,True
202,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,5.0,10.0,750.0,2.0,1581.8,0.82,False,False,True,False,False,False,False,True
203,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,5.0,10.0,750.0,2.0,1581.8,0.82,False,False,True,False,False,False,False,True
204,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,10.0,800.0,2.0,1562.0,0.84,False,False,True,False,False,False,False,True
205,60.82,5.1,24.68,0.15,9.25,64.62,4.62,28.06,1.0,5.0,800.0,1.0,1886.0,0.86,False,False,True,False,False,False,False,True
206,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,2.0,5.0,800.0,1.0,2121.0,0.903,False,False,True,False,False,False,False,True
207,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,2.0,10.0,750.0,2.0,1939.9,0.92,False,False,True,False,False,False,False,True
208,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750.0,2.0,1912.2,0.92,False,False,True,False,False,False,False,True
209,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,2.0,10.0,750.0,2.0,1939.9,0.92,False,False,True,False,False,False,False,True
210,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750.0,1.0,1912.2,0.92,False,False,True,False,False,False,False,True
211,44.9,4.5,29.9,0.0,12.0,64.62,4.62,28.06,0.5,5.0,900.0,3.0,1592.2,0.93,False,False,True,False,False,False,False,True
212,63.7,4.8,26.3,0.4,0.0,51.19,0.04,46.49,2.18,8.29,800.0,2.0,2153.0,0.94,False,False,True,False,False,False,False,True
213,44.9,4.5,29.9,0.0,12.0,64.62,4.62,28.06,1.0,5.0,850.0,1.0,1759.0,0.9873,False,False,True,False,False,False,False,True
214,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750.0,2.0,2043.4,0.99,False,False,True,False,False,False,False,True
215,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750.0,3.0,2043.4,0.99,False,False,True,False,False,False,False,True
216,44.9,4.5,29.9,0.0,12.0,64.62,4.62,28.06,2.0,5.0,850.0,1.0,2001.0,1.307,False,False,True,False,False,False,False,True
217,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750.0,2.0,2713.5,1.31,False,False,True,False,False,False,False,True
218,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750.0,2.0,2713.5,1.31,False,False,True,False,False,False,False,True
219,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,4.0,10.0,750.0,2.0,2762.5,1.32,False,False,True,False,False,False,False,True
220,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,4.0,10.0,750.0,2.0,2762.5,1.32,False,False,True,False,False,False,False,True
221,44.9,4.5,29.9,0.0,12.0,64.62,4.62,28.06,4.0,5.0,850.0,1.0,1876.0,1.421,False,False,True,False,False,False,False,True
222,44.9,4.5,29.9,0.0,12.0,64.62,4.62,28.06,3.0,5.0,850.0,1.0,2235.0,1.512,False,False,True,False,False,False,False,True
223,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,10.0,900.0,2.0,2026.0,1.59,False,False,True,False,False,False,False,True
224,47.5,4.9,33.3,0.0,0.1,48.44,15.62,26.11,1.0,8.29,800.0,2.0,1825.0,1.72,False,False,True,False,False,False,False,True
225,51.57,5.13,39.57,0.24,3.49,64.62,4.62,28.06,1.0,10.0,800.0,2.0,2770.0,1.89,False,False,True,False,False,False,False,True
226,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,1.5054,0.0063,False,False,False,True,False,False,False,True
227,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,1.51,0.01,False,False,False,True,False,False,False,True
228,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,1.61,0.01,False,False,False,True,False,False,False,True
229,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,1.6105,0.0119,False,False,False,True,False,False,False,True
230,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,222.183,0.076,False,False,False,True,False,False,False,True
231,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,222.18,0.08,False,False,False,True,False,False,False,True
232,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,804.6,0.3698,False,False,False,True,False,False,False,True
233,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,804.6,0.37,False,False,False,True,False,False,False,True
234,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,822.036,0.4273,False,False,False,True,False,False,False,True
235,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,822.04,0.43,False,False,False,True,False,False,False,True
236,49.56,5.16,44.08,1.2,0.0,79.18,6.6,14.23,0.75,10.0,700.0,1.0,396.0,0.202,False,False,False,False,True,False,True,False
237,42.3,4.3,52.51,0.82,0.07,73.02,5.21,21.77,2.0,5.0,700.0,1.0,1622.0,1.05,False,False,False,False,True,False,True,False
238,42.3,4.3,52.51,0.82,0.07,73.02,5.21,21.77,1.0,5.0,700.0,1.0,1989.0,1.09,False,False,False,False,True,False,True,False
239,42.3,4.3,52.51,0.82,0.07,73.02,5.21,21.77,1.5,5.0,800.0,1.0,2298.0,1.25,False,False,False,False,True,False,True,False
240,42.3,4.3,52.51,0.82,0.07,73.02,5.21,21.77,1.5,5.0,600.0,1.0,2223.0,1.29,False,False,False,False,True,False,True,False
241,42.3,4.3,52.51,0.82,0.07,73.02,5.21,21.77,1.5,5.0,700.0,1.0,2636.0,1.53,False,False,False,False,True,False,True,False
242,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,36.69,0.04,False,False,False,False,True,False,False,True
243,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,36.6921,0.04489,False,False,False,False,True,False,False,True
244,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,698.62,0.35,False,False,False,False,True,False,False,True
245,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,698.62,0.3533,False,False,False,False,True,False,False,True
246,63.7,4.8,26.3,0.4,0.0,51.19,0.04,46.49,0.84,8.29,800.0,2.0,883.0,0.38,False,False,False,False,True,False,False,True
247,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,998.6,0.49,False,False,False,False,True,False,False,True
248,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,998.599,0.4931,False,False,False,False,True,False,False,True
249,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,1377.879,0.7175,False,False,False,False,True,False,False,True
250,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,1377.88,0.72,False,False,False,False,True,False,False,True
251,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,892.51,0.72,False,False,False,False,True,False,False,True
252,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,892.5145,0.723,False,False,False,False,True,False,False,True
253,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.0,5.0,450.0,2.0,20.0,0.087,False,False,False,False,False,True,True,False
254,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.5,5.0,450.0,2.0,5.0,0.159,False,False,False,False,False,True,True,False
255,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.5,5.0,600.0,2.0,556.0,0.342,False,False,False,False,False,True,True,False
256,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,0.5,5.0,600.0,2.0,821.0,0.382,False,False,False,False,False,True,True,False
257,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.0,5.0,600.0,2.0,730.0,0.406,False,False,False,False,False,True,True,False
258,50.19,6.14,41.23,2.04,0.31,64.72,16.81,18.47,1.0,8.37,700.0,0.5,811.0,0.41,False,False,False,False,False,True,True,False
259,50.19,6.14,41.23,2.04,0.31,70.18,3.52,26.3,0.75,8.37,700.0,0.5,864.0,0.42,False,False,False,False,False,True,True,False
260,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,0.5,5.0,450.0,2.0,878.0,0.426,False,False,False,False,False,True,True,False
261,50.19,6.14,41.23,2.04,0.31,60.42,6.86,32.72,3.0,10.0,800.0,2.0,783.0,0.481,False,False,False,False,False,True,True,False
262,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,0.5,5.0,450.0,1.0,908.52,0.4876,False,False,False,False,False,True,True,False
263,50.19,6.14,41.23,2.04,0.31,56.6,5.65,37.75,3.0,10.0,800.0,2.0,802.0,0.517,False,False,False,False,False,True,True,False
264,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.0,5.0,350.0,1.0,923.7288,0.5212,False,False,False,False,False,True,True,False
265,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,1.0,5.0,450.0,2.0,1093.0,0.545,False,False,False,False,False,True,True,False
266,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,1.0,5.0,600.0,2.0,1097.0,0.613,False,False,False,False,False,True,True,False
267,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,1.5,5.0,600.0,2.0,1224.0,0.613,False,False,False,False,False,True,True,False
268,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,0.5,5.0,450.0,2.0,980.86,0.613,False,False,False,False,False,True,True,False
269,50.19,6.14,41.23,2.04,0.31,60.42,6.86,32.72,3.0,10.0,400.0,2.0,498.0,0.613,False,False,False,False,False,True,True,False
270,50.19,6.14,41.23,2.04,0.31,60.42,6.86,32.72,3.0,10.0,500.0,2.0,552.0,0.613,False,False,False,False,False,True,True,False
271,50.19,6.14,41.23,2.04,0.31,60.42,6.86,32.72,3.0,10.0,600.0,2.0,612.0,0.613,False,False,False,False,False,True,True,False
272,50.19,6.14,41.23,2.04,0.31,60.42,6.86,32.72,3.0,10.0,700.0,2.0,712.0,0.613,False,False,False,False,False,True,True,False
273,50.19,6.14,41.23,2.04,0.31,56.6,5.65,37.75,3.0,10.0,400.0,2.0,511.0,0.613,False,False,False,False,False,True,True,False
274,50.19,6.14,41.23,2.04,0.31,56.6,5.65,37.75,3.0,10.0,500.0,2.0,550.0,0.613,False,False,False,False,False,True,True,False
275,50.19,6.14,41.23,2.04,0.31,56.6,5.65,37.75,3.0,10.0,600.0,2.0,622.0,0.613,False,False,False,False,False,True,True,False
276,50.19,6.14,41.23,2.04,0.31,56.6,5.65,37.75,3.0,10.0,700.0,2.0,720.0,0.613,False,False,False,False,False,True,True,False
277,49.56,5.16,44.08,1.2,0.0,79.18,6.6,14.23,0.75,10.0,700.0,1.0,1115.0,0.64,False,False,False,False,False,True,True,False
278,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.0,5.0,400.0,1.0,1144.067,0.64386,False,False,False,False,False,True,True,False
279,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,1.5,5.0,450.0,2.0,1007.0,0.647,False,False,False,False,False,True,True,False
280,42.67,6.08,49.29,1.95,0.01,82.57,4.08,13.35,1.0,5.0,700.0,1.5,1389.0,0.65,False,False,False,False,False,True,True,False
281,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.0,5.0,600.0,1.0,1233.0508,0.658,False,False,False,False,False,True,True,False
282,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,0.75,5.0,450.0,1.0,1178.94,0.6623,False,False,False,False,False,True,True,False
283,42.67,6.08,49.29,1.95,0.01,82.57,4.08,13.35,3.0,5.0,500.0,1.5,1191.0,0.666,False,False,False,False,False,True,True,False
284,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,2.0,5.0,450.0,2.0,674.0,0.683,False,False,False,False,False,True,True,False
285,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.0,5.0,550.0,1.0,1317.796,0.7051,False,False,False,False,False,True,True,False
286,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.0,5.0,500.0,1.0,1372.88,0.7476,False,False,False,False,False,True,True,False
287,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.0,5.0,450.0,1.0,1449.1525,0.79245,False,False,False,False,False,True,True,False
288,42.67,6.08,49.29,1.95,0.01,82.57,4.08,13.35,3.0,5.0,600.0,1.5,1442.0,0.816,False,False,False,False,False,True,True,False
289,42.67,6.08,49.29,1.95,0.01,82.57,4.08,13.35,2.0,5.0,700.0,1.5,1747.0,0.931,False,False,False,False,False,True,True,False
290,42.67,6.08,49.29,1.95,0.01,82.57,4.08,13.35,3.0,5.0,700.0,1.5,1826.0,0.966,False,False,False,False,False,True,True,False
291,43.4,5.8,50.2,0.6,0.0,74.46,0.2,21.65,1.0,8.37,600.0,2.0,1069.0,1.0,False,False,False,False,False,True,True,False
292,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,1.5,5.0,450.0,1.0,1749.4,1.0093,False,False,False,False,False,True,True,False
293,48.07,7.11,42.84,0.76,1.22,81.22,0.55,18.23,2.0,5.0,450.0,1.0,1803.3,1.1968,False,False,False,False,False,True,True,False
294,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,2.0,5.0,600.0,2.0,1274.0,1.385,False,False,False,False,False,True,True,False
295,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.4,10.0,400.0,1.0,1237.61,0.125,False,False,False,False,False,True,False,True
296,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,8.29,600.0,1.42,971.0,0.24,False,False,False,False,False,True,False,True
297,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,701.7543,0.2892,False,False,False,False,False,True,False,True
298,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,701.75,0.29,False,False,False,False,False,True,False,True
299,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,719.3,0.3,False,False,False,False,False,True,False,True
300,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,719.2982,0.3,False,False,False,False,False,True,False,True
301,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,815.79,0.34,False,False,False,False,False,True,False,True
302,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,815.7894,0.3428,False,False,False,False,False,True,False,True
303,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,350.0,1.0,534.0,0.361,False,False,False,False,False,True,False,True
304,61.65,5.59,31.3,0.0,1.46,28.14,1.88,66.52,2.0,5.0,800.0,2.0,896.36,0.3636,False,False,False,False,False,True,False,True
305,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.4,10.0,500.0,1.0,1237.61,0.368,False,False,False,False,False,True,False,True
306,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,1035.087,0.4392,False,False,False,False,False,True,False,True
307,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,1035.09,0.44,False,False,False,False,False,True,False,True
308,64.91,7.34,19.82,0.26,7.67,48.66,4.03,34.57,1.0,8.29,700.0,1.0,866.0,0.47,False,False,False,False,False,True,False,True
309,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.7,10.0,400.0,1.0,1237.61,0.494,False,False,False,False,False,True,False,True
310,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.7,10.0,450.0,1.0,1237.61,0.534,False,False,False,False,False,True,False,True
311,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,1307.017,0.5785,False,False,False,False,False,True,False,True
312,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,1307.02,0.58,False,False,False,False,False,True,False,True
313,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.7,10.0,500.0,1.0,1237.61,0.59,False,False,False,False,False,True,False,True
314,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,600.0,1.0,1153.0,0.70,False,False,False,False,False,True,False,True
315,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,400.0,1.0,1297.0,0.72,False,False,False,False,False,True,False,True
316,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.5,10.0,400.0,1.0,1237.61,0.894,False,False,False,False,False,True,False,True
317,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,500.0,1.0,1347.0,0.933,False,False,False,False,False,True,False,True
318,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,450.0,1.0,1320.0,0.961,False,False,False,False,False,True,False,True
319,61.6,6.0,31.1,1.1,0.2,64.62,4.62,28.06,3.0,10.0,500.0,2.0,1142.0,0.99,False,False,False,False,False,True,False,True
320,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.5,10.0,450.0,1.0,1237.61,1.02,False,False,False,False,False,True,False,True
321,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,2.3,10.0,400.0,1.0,1237.61,1.045,False,False,False,False,False,True,False,True
322,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.5,10.0,500.0,1.0,1237.61,1.093,False,False,False,False,False,True,False,True
323,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,2.3,10.0,450.0,1.0,1237.61,1.462,False,False,False,False,False,True,False,True
324,64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,2.3,10.0,500.0,1.0,1237.61,1.768,False,False,False,False,False,True,False,True
